image_name,gray_matter_percentage,white_matter_percentage
AF-20-36-B-22_H02IBC427P-185953_level-0.tiff,72.77918154446826,27.220818455531735
H02N23498P12-197768_H02N23498P12-197768_level-0.tiff,56.01638002307872,43.98361997692129
H02N23TB509P-187635_level-0.tiff,49.59488856467274,50.405111435327264
H02P23TB518P-231971_level-0.tiff,46.309516236830206,53.690483763169794
H02P23TB521P-215519_level-0.tiff,64.78472473175586,35.21527526824414
NA00-118_H02IBC428P-233028_level-0.tiff,59.88590522152128,40.11409477847872
NA00-118_H02IBC428P-233029_level-0.tiff,45.77448826140279,54.22551173859721
NA00-118_H02IBC428P-233030_level-0.tiff,46.59616374052018,53.40383625947982
NA01-161_H02P23TB517P-193924_level-0.tiff,62.06873448008989,37.93126551991011
NA01-161_H02P23TB517P-193925_level-0.tiff,55.1510423393144,44.84895766068559
NA01-161_H02P23TB517P-193926_level-0.tiff,71.48137371859363,28.51862628140636
NA03-222_H02N23499P12-212205_level-0.tiff,47.35679548973955,52.64320451026045
NA04-001_H02N23TB509P-187801_level-0.tiff,24.856284862027778,75.14371513797222
NA04-001_H02N23TB509P-187808_level-0.tiff,17.69033567303458,82.30966432696543
NA04-001_H02N23TB509P-187811_level-0.tiff,27.19493264220728,72.80506735779272
NA04-001_H02N23TB509P-187815_level-0.tiff,18.21592304782484,81.78407695217516
NA04-001_H02N23TB509P-187821_level-0.tiff,48.08526607398171,51.914733926018286
NA04-001_H02N23TB509P-187826_level-0.tiff,39.21086373805996,60.78913626194004
NA04-001_H02N23TB509P-187830_level-0.tiff,72.86677381422712,27.13322618577288
NA04-001_H02N23TB509P-187839_level-0.tiff,48.426877438013946,51.57312256198605
NA04-191_H02IBC428P-232904_level-0.tiff,70.46324994239875,29.536750057601264
NA04-191_H02N23489P12-212012_level-0.tiff,41.03845405190113,58.96154594809887
NA04-191_H02N23TB509P-187802_level-0.tiff,60.64110841849201,39.35889158150799
NA04-240_H02FBC343P-204410_level-0.tiff,50.57229665009557,49.42770334990443
NA05-111_H02P23TB515P-192965_level-0.tiff,57.945220628597774,42.05477937140223
NA05-200_H02M23471P12-211193_level-0.tiff,47.63508738734425,52.36491261265574
NA06-239_H02N23486P12-216197_level-0.tiff,48.14729404609357,51.85270595390643
NA06-239_H02N23486P12-216198_level-0.tiff,34.49701068390212,65.50298931609788
NA06-239_H02N23486P12-216200_level-0.tiff,59.20749728124001,40.79250271875999
NA06-239_H02N23486P12-216201_level-0.tiff,49.22310098000596,50.77689901999404
NA07-121_H02P23TB518P-231970_level-0.tiff,50.35886375776919,49.64113624223081
NA07-121_H02P23TB518P-231972_level-0.tiff,61.29685146580262,38.70314853419738
NA07-121_H02P23TB518P-231973_level-0.tiff,64.67964829390502,35.320351706095
NA07-121_H02P23TB518P-231978_level-0.tiff,60.58557771397065,39.41442228602936
NA07-144_H02IBC428P-233684_level-0.tiff,54.79634151951941,45.20365848048058
NA07-278_H02P23TB518P-231968_level-0.tiff,61.10434132366018,38.89565867633981
NA08-013_H02P23TB516P-191509_level-0.tiff,44.46065023793502,55.53934976206498
NA08-089_H02IBC428P-232905_level-0.tiff,15.852188416544172,84.14781158345583
NA08-089_H02IBC428P-232907_level-0.tiff,53.33037443643032,46.66962556356968
NA08-089_H02IBC428P-232910_level-0.tiff,56.028346056595325,43.97165394340467
NA08-089_H02IBC428P-232911_level-0.tiff,59.89935706181452,40.10064293818549
NA09-034_H02N23496P12-211886_level-0.tiff,43.17232368414953,56.82767631585046
NA09-034_H02N23496P12-211887_level-0.tiff,43.487350082011815,56.51264991798818
NA09-404_H02P23TB518P-229562_level-0.tiff,14.300797006179073,85.69920299382093
NA09-404_H02P23TB518P-229563_level-0.tiff,39.524612095490006,60.47538790451
NA09-404_H02P23TB518P-229564_level-0.tiff,55.14428228302391,44.855717716976095
NA09-404_H02P23TB518P-229565_level-0.tiff,11.227641144819668,88.77235885518033
NA09-404_H02P23TB518P-229566_level-0.tiff,35.83544516106208,64.16455483893793
NA09-404_H02P23TB518P-229567_level-0.tiff,53.78152078201921,46.21847921798079
NA09-404_H02P23TB518P-229568_level-0.tiff,62.292731437045866,37.70726856295413
NA09-404_H02P23TB518P-229569_level-0.tiff,57.846031196087445,42.15396880391256
NA10-204_H02FBC343P-203982_level-0.tiff,67.9999294383291,32.0000705616709
NA10-204_H02IBC428P-233010_level-0.tiff,64.70002819550956,35.29997180449044
NA10-204_H02IBC428P-233023_level-0.tiff,62.19421802862941,37.80578197137059
NA10-268_H02IBC432P-231068_level-0.tiff,59.55767898510632,40.44232101489367
NA10-268_H02IBC432P-231072_level-0.tiff,59.635822710010245,40.36417728998976
NA10-268_H02IBC432P-231077_level-0.tiff,49.0373887970535,50.9626112029465
NA10-268_H02IBC432P-231081_level-0.tiff,47.94304814448075,52.05695185551925
NA10-417_H02IBC418P-227822_level-0.tiff,49.116743102254176,50.883256897745824
NA10-417_H02IBC418P-227826_level-0.tiff,58.377204748172495,41.62279525182751
NA10-417_H02IBC418P-227827_level-0.tiff,51.74899201415426,48.25100798584574
NA10-417_H02IBC418P-227828_level-0.tiff,60.58056759737976,39.41943240262024
NA11-048_H02P23TB518P-231969_level-0.tiff,75.41951254324663,24.58048745675337
NA11-048_H02P23TB522P-218107_level-0.tiff,56.139486855403774,43.86051314459623
NA11-048_H02P23TB522P-218108_level-0.tiff,50.29489500262265,49.70510499737735
NA11-386_H02M23471P12-211568_level-0.tiff,57.42657490203072,42.573425097969285
NA11-386_H02M23471P12-211569_level-0.tiff,60.081905345686174,39.91809465431383
NA11-386_H02M23471P12-211570_level-0.tiff,50.426776246189775,49.57322375381022
NA11-396_H02P23TB518P-229098_level-0.tiff,75.44761481867636,24.552385181323643
NA11-426_H02IBC429P-241368_level-0.tiff,48.52249998258984,51.47750001741017
NA11-426_H02IBC429P-241369_level-0.tiff,55.77099238455615,44.229007615443855
NA11-426_H02P23TB522P-218102_level-0.tiff,65.86825619696955,34.131743803030446
NA11-426_H02P23TB522P-218113_level-0.tiff,57.99053220544409,42.00946779455592
NA11-496_H02M23487P12-218286_level-0.tiff,35.40416556552917,64.59583443447083
NA11-496_H02M23487P12-218288_level-0.tiff,69.14083835542297,30.85916164457703
NA11-496_H02M23487P12-218289_level-0.tiff,4.314362095443945,95.68563790455606
NA11-496_H02M23487P12-218291_level-0.tiff,42.03316299362132,57.96683700637868
NA11-496_H02M23487P12-218292_level-0.tiff,68.36518906348654,31.634810936513453
NA11-4_H02P23TB522P-218112_level-0.tiff,59.167137186017314,40.83286281398268
NA12-016_H02N23484P12-217918_level-0.tiff,30.4856662362974,69.5143337637026
NA12-210_H02P23TB520P-213959_level-0.tiff,47.86846824597887,52.13153175402113
NA12-210_H02P23TB520P-213964_level-0.tiff,44.74574276682966,55.254257233170335
NA12-210_H02P23TB520P-213965_level-0.tiff,52.4953336140297,47.504666385970296
NA12-247-F2_H02M23487P12-218284_level-0.tiff,57.930093310741015,42.06990668925899
NA12-253-F2_H02P23TB520P-213954_level-0.tiff,56.4235005969133,43.5764994030867
NA12-396-F2_H02M23471P12-211567_level-0.tiff,51.96103451865732,48.03896548134267
NA12-420_H02N23487P12-218761_level-0.tiff,57.51620490047764,42.483795099522354
NA12-420_H02N23500P12-218639_level-0.tiff,58.68587398321644,41.31412601678356
NA12-420_H02N23500P12-218640_level-0.tiff,74.45960719286828,25.540392807131727
NA13-021_H02IBC430P-233664_level-0.tiff,28.3850839097381,71.6149160902619
NA13-021_H02IBC430P-233665_level-0.tiff,57.90697604428867,42.09302395571133
NA13-021_H02IBC430P-233667_level-0.tiff,56.17035373632672,43.82964626367328
NA13-021_H02IBC430P-233668_level-0.tiff,48.45328769618137,51.54671230381863
NA13-021_H02N23487P12-236344_level-0.tiff,53.97021900944532,46.02978099055469
NA13-057_H02IBC428P-221255_level-0.tiff,69.31223396438713,30.687766035612867
NA13-057_H02IBC428P-221256_level-0.tiff,71.65732569339924,28.342674306600763
NA13-202_H02N23500P12-235956_level-0.tiff,50.78543623130275,49.214563768697246
NA13-210_H02P23TB521P-203319_level-0.tiff,48.77642511221904,51.22357488778096
