slide_id,gm_pixel_count,amyloid_pixel_count,gm_area_mm2,amyloid_area_mm2,amyloid_density_percent
NA09-404_H02P23TB518P-229568_level-0,2020175336.828748,4471391.0,161.45097859486438,0.3573504,0.2213367872657052
NA09-404_H02P23TB518P-229569_level-0,1738938936.1298106,3490078.0,138.9747651288498,0.27892455,0.2007015837211934
NA10-204_H02FBC343P-203982_level-0,2018116282.1899495,26224000.0,161.28642041006043,2.0958035,1.2994296072126563
NA10-204_H02IBC428P-233010_level-0,2373092522.479121,164489070.0,189.6558695008404,13.14585,6.931422800769862
NA10-204_H02IBC428P-233023_level-0,2219350185.264129,39504150.0,177.36889106767768,3.157144,1.779987488599101
NA10-268_H02IBC432P-231068_level-0,3136141728.173518,45727.0,250.6382202550006,0.0036544695,0.0014580655334097
NA10-268_H02IBC432P-231072_level-0,3120794951.6106453,88036.0,249.41171676830717,0.007035775,0.0028209481099324
NA10-268_H02IBC432P-231077_level-0,1991864231.193336,111630.0,159.1883751333673,0.00892139,0.0056042976705192
NA10-268_H02IBC432P-231081_level-0,2986949263.496306,76491.0,238.7148644046477,0.0061131064,0.0025608402728164
NA10-417_H02IBC418P-227822_level-0,2717544815.742411,20395304.0,217.18425221731437,1.6299783,0.7505048282736335
NA10-417_H02IBC418P-227826_level-0,2609709762.93695,50038724.0,208.56615135998936,3.9990594,1.9174057787560108
NA10-417_H02IBC418P-227827_level-0,2936901712.705452,48516228.0,234.7150996792037,3.8773828,1.651952840093775
NA10-417_H02IBC418P-227828_level-0,2864207307.5220504,41674310.0,228.90541442997392,3.3305814,1.4550033405345095
NA11-048_H02P23TB518P-231969_level-0,1808551251.096129,15643745.0,144.53813191621435,1.250237,0.8649876482369112
NA11-048_H02P23TB522P-218107_level-0,2231256416.1161685,27544812.0,178.32042858394877,2.201362,1.2344978711012902
NA11-048_H02P23TB522P-218108_level-0,1880967835.6873772,690529.0,150.3256139409719,0.05518659,0.0367113673248165
NA11-386_H02M23471P12-211568_level-0,2095280084.9982624,15549941.0,167.4532967442008,1.2427403,0.7421414195111601
NA11-386_H02M23471P12-211569_level-0,2587231533.902319,9685019.0,206.76970725508428,0.7740199,0.3743391173007853
NA11-386_H02M23471P12-211570_level-0,2587681831.8814754,34753070.0,206.8056947498669,2.777441,1.3430196050160077
NA11-396_H02P23TB518P-229098_level-0,3022738825.972469,78093620.0,241.5751408271533,6.2411866,2.583538437537533
NA11-426_H02IBC429P-241368_level-0,4027049704.124832,10680585.0,321.83895314836667,0.8535848,0.2652211044196022
NA11-426_H02IBC429P-241369_level-0,4519736851.680532,11548838.0,361.2141601731435,0.922975,0.255520161024948
NA11-426_H02P23TB522P-218102_level-0,3373704726.6598253,50525640.0,269.62408642429733,4.0379734,1.4976308153627849
NA11-426_H02P23TB522P-218113_level-0,2014423050.7835827,15526632.0,160.9912599782579,1.2408775,0.7707732142010124
NA11-496_H02M23487P12-218286_level-0,3082384062.879667,15737499.0,246.34194581265837,1.2577298,0.5105625696849647
NA11-496_H02M23487P12-218288_level-0,2114429158.797531,10451763.0,168.98367712639592,0.8352975,0.4943066331218863
NA11-496_H02M23487P12-218289_level-0,400020083.5817897,539511.0,31.96932106559729,0.04311734,0.1348709926171501
NA11-496_H02M23487P12-218291_level-0,1837439055.797483,22341856.0,146.84682475760522,1.7855453,1.2159237028573342
NA11-496_H02M23487P12-218292_level-0,2126278571.8428664,34914910.0,169.9306738038959,2.790375,1.6420666921488902
NA11-4_H02P23TB522P-218112_level-0,2120609958.018464,15032105.0,169.47764221176544,1.2013552,0.7088576423468375
NA12-016_H02N23484P12-217918_level-0,1309084028.4955184,7518914.0,104.6210661077016,0.6009063,0.5743645470474062
NA12-210_H02P23TB520P-213959_level-0,1749464558.9772327,69895380.0,139.81596543362355,5.585989,3.9952440203010906
NA12-210_H02P23TB520P-213964_level-0,3796694042.9437575,17705016.0,303.42909225929463,1.4149724,0.4663272113993538
NA12-210_H02P23TB520P-213965_level-0,3122982250.185276,42421508.0,249.58652411740965,3.390297,1.3583653797110873
NA12-247-F2_H02M23487P12-218284_level-0,2163719134.5629945,12430504.0,172.922896993689,0.9934371,0.5744971479479508
NA12-253-F2_H02P23TB520P-213954_level-0,2107222891.4872017,14313384.0,168.4077573594042,1.1439155,0.6792534690538066
NA12-396-F2_H02M23471P12-211567_level-0,1998561486.0542748,36060620.0,159.72361498680254,2.8819392,1.8043287919465612
NA12-420_H02N23487P12-218761_level-0,3231672714.363602,72532800.0,258.2729888443119,5.79677,2.2444352859986894
NA12-420_H02N23500P12-218639_level-0,3183866389.451784,135997820.0,254.45234129985008,10.86885,4.271467772240105
NA12-420_H02N23500P12-218640_level-0,3088993371.909513,652032200.0,246.87015709771427,52.10995,21.10824233755453
NA13-021_H02IBC430P-233664_level-0,2159674935.5805607,1362.0,172.59968748239416,0.00010885007,6.306504590230766e-05
NA13-021_H02IBC430P-233665_level-0,2301884945.873156,25677590.0,183.96501053587104,2.052135,1.115502879984885
NA13-021_H02IBC430P-233667_level-0,2117329830.804287,10947024.0,169.21549677369876,0.87487847,0.5170202982646006
NA13-021_H02IBC430P-233668_level-0,1963522895.5895877,14997925.0,156.92335571426398,1.1986237,0.763827444149928
NA13-021_H02N23487P12-236344_level-0,3608716262.1990447,7926476.0,288.4060414864015,0.6334784,0.2196481043970431
NA13-057_H02IBC428P-221255_level-0,2241161613.460291,4349653.0,179.1120449230009,0.34762117,0.194080288020825
NA13-057_H02IBC428P-221256_level-0,2264070909.698572,65691560.0,180.942939612764,5.250023,2.9014798253080047
NA13-202_H02N23500P12-235956_level-0,1645277831.2063255,654891.0,131.4894361227494,0.052338425,0.0398042813273515
NA13-210_H02P23TB521P-203319_level-0,1924536688.981788,6419777.0,153.8076057623753,0.513064,0.333575198891814
NA13-355_H02P23TB525P-183483_level-0,2482742233.566558,2782395.0,198.4189965596535,0.22236705,0.112069434942786
NA14-071_H02P23TB526P-183894_level-0,1980133938.3657937,19884376.0,158.250898459098,1.5891453,1.0041935421828
NA14-161_H02N23498P12-204689_level-0,2749838294.975213,240821860.0,219.7651241492296,19.246311,8.757673112261024
NA14-161_H02N23498P12-204690_level-0,2184955949.368929,13279426.0,174.62012815484076,1.0612824,0.607766359772373
NA16-035_H02N23TB510P-171019_level-0,2369918939.300943,52446930.0,189.4022389864845,4.1915216,2.2130264494346275
NA16-125_H02IBC423P-190348_level-0,3818220193.026839,20028540.0,305.1494468903679,1.6006668,0.5245517492199134
NA16-323_H02N23TB509P-170917_level-0,2546448917.811764,16814704.0,203.51038953278456,1.3438193,0.6603197329052068
NA17-378_H02N23496P12-193660_level-0,2729030745.307892,621734.0,218.1021995531776,0.049688544,0.0227822297189853
NA17-378_H02N23496P12-193661_level-0,2499347247.2914658,16869084.0,199.7460574669884,1.3481653,0.6749396162120448
NA18-181_H02N23498P12-204695_level-0,2213450651.554848,99055820.0,176.89740452230083,7.9164715,4.475176728963957
NA18-181_H02N23498P12-204696_level-0,2080620988.696936,162727710.0,166.28175217575713,13.005084,7.821113181459982
NA18-314_H02N23484P12-195176_level-0,2034343705.0361931,17218744.0,162.58330452246202,1.3761098,0.8464029209688001
NA18-381_H02IBC430P-240101_level-0,2365922028.65148,254708.0,189.08280872518597,0.020356083,0.0107656975406867
NA18-381_H02IBC430P-240102_level-0,2423691644.1118827,68006664.0,193.6997153763544,5.4350443,2.805912377349177
NA18-381_H02N23498P12-197732_level-0,2354295230.419275,256876.0,188.1536032654949,0.020529348,0.0109109515028778
NA18-381_H02N23498P12-197733_level-0,2410805923.424611,55430000.0,192.6698977278893,4.4299264,2.2992311968072534
NA18-381_H02N23498P12-197734_level-0,2700838000.6527514,47953932.0,215.84905541718743,3.8324442,1.775520482853981
NA19-041_H02IBC433P-188017_level-0,3827568208.196213,2273660.0,305.8965336256136,0.18170929,0.0594022061633346
NA19-100_H02P23TB519P-177345_level-0,3147974234.413269,48140972.0,251.5838657526021,3.8473926,1.529268400237912
NA19-100_H02P23TB519P-177347_level-0,2770609662.235702,26677904.0,221.42515707301712,2.1320794,0.9628893984102216
NA19-100_H02P23TB519P-177348_level-0,2992896518.182312,400304500.0,239.19016477660247,31.992054,13.375154457322887
NA19-100_H02P23TB519P-177357_level-0,3756638314.754351,12089608.0,300.2278669019643,0.96619296,0.3218198799162884
NA19-100_H02P23TB519P-177358_level-0,3375942982.2622147,12598185.0,269.8029662228788,1.0068381,0.3731753202577777
NA19-207_H02N23498P12-197754_level-0,2689010440.332591,3285486.0,214.90380519396803,0.26257372,0.1221819775539405
NA19-207_H02N23498P12-197757_level-0,2505826255.876972,15135657.0,200.26385523304592,1.209631,0.604018615730174
NA19-207_H02N23498P12-197758_level-0,2185428116.1865625,53794.0,174.6578633916676,0.0042991787,0.0024614859222683
NA19-207_H02N23498P12-197759_level-0,2245322337.024972,133280.0,179.4445669961765,0.010651643,0.0059358962861217
NA19-207_H02N23498P12-197761_level-0,2241761383.8379188,3366.0,179.1599781457439,0.00026900833,0.0001501497921077
NA19-220_H02IBC430P-240103_level-0,2525717815.722222,154791.0,201.85357457287083,0.012370788,0.0061285947435495
NA19-220_H02N23487P12-212562_level-0,3237816773.241313,47645044.0,258.7640176675368,3.8077583,1.471517703899266
NA19-220_H02N23487P12-212563_level-0,3439098394.4118843,94369900.0,274.8503019215378,7.541976,2.744030449415205
NA19-295_H02N23496P12-193665_level-0,3260192983.287224,22878700.0,260.55230848729684,1.8284495,0.7017590818142003
NA19-295_H02N23496P12-193666_level-0,2762237905.717509,2996522.0,220.75609223603024,0.23947993,0.1084816852767559
NA20-159_H02IBC429P-229418_level-0,2286585488.6026487,101276136.0,182.7422887734268,8.093917,4.429142782074171
NA20-273_H02P23TB523P-199472_level-0,3251431817.995364,56154924.0,259.8521223775987,4.487862,1.7270831075285566
NA20-273_H02P23TB523P-199473_level-0,3587048092.63104,5284246.0,286.6743367589269,0.4223132,0.1473146212259399
NA21-086_H02N23484P12-195179_level-0,1767160778.6731963,4622297.0,141.230234747409,0.36941072,0.2615663169494073
NA21-086_H02N23484P12-195180_level-0,1953549351.2602613,10069688.0,156.1262771326807,0.80476236,0.5154560642920647
NA21-086_H02N23484P12-195182_level-0,1837002703.8621857,52753544.0,146.81195182074617,4.216026,2.871718396921016
NA21-402_H02IBC418P-210098_level-0,2327773295.7109065,34681150.0,186.0339890741757,2.7716932,1.4898853932386302
NA21-402_H02IBC418P-210099_level-0,2163626927.516236,9187752.0,172.915527871979,0.7342786,0.4246458535713658
NA22-130_H02N23500P12-211173_level-0,1314342560.145572,2402140.0,105.0413242236164,0.19197732,0.1827636156727266
NA22-130_H02N23500P12-211174_level-0,1361172402.0103292,38769852.0,108.78393193626007,3.0984592,2.8482692146022983
NA22-251_H02N23TB509P-169317_level-0,2443566391.634516,57064456.0,195.28809108729249,4.560551,2.3352940474470034
NA22-251_H02P23TB526P-176546_level-0,2227904854.2027025,256705820.0,178.05257413543353,20.515747,11.522297371959052
NA22-251_H02P23TB526P-176547_level-0,2183734858.492092,46006056.0,174.52253943893845,3.6767714,2.1067602008194646
NA22-251_H02P23TB526P-176548_level-0,2598692010.286112,437081060.0,207.68562039073876,34.93121,16.819272079833727
NA22-251_H02P23TB526P-176549_level-0,2659774245.6957417,89519500.0,212.56726927628924,7.1543355,3.365680672837172
NA22-251_H02P23TB526P-176550_level-0,2533733813.509934,64832348.0,202.49420742470636,5.1813555,2.5587672567404107
NA22-251_H02P23TB526P-176551_level-0,2208138772.200136,214418480.0,176.4728828957066,17.136173,9.710371909330847
NA22-251_H02P23TB526P-176552_level-0,2526101445.2334523,49161412.0,201.8842339710314,3.9289453,1.9461377571103573
NA22-251_H02P23TB526P-176553_level-0,2235847878.1345344,29717752.0,178.68737496851853,2.3750217,1.3291491335127252
NA23-060_H02FBC343P-191583_level-0,2444789287.5409894,3671444.0,195.3858240598817,0.2934192,0.1501742582987817
NA23-060_H02FBC343P-191584_level-0,3092060748.544323,3535956.0,247.11529966053084,0.2825911,0.1143559726555375
NA23-060_H02FBC343P-191585_level-0,4413730824.707535,5527008.0,352.7422337617407,0.44171456,0.1252230418553895
NA23-060_H02FBC343P-191586_level-0,2499459352.0377307,13702598.0,199.7550167987155,1.095102,0.5482225027951525
NA23-060_H02FBC343P-191587_level-0,2520082356.220668,24942878.0,201.40319265068285,1.9934173,0.9897644802922378
NA23-060_H02FBC343P-191588_level-0,2969388894.724027,31230056.0,237.311452200229,2.495884,1.051733457660743
NA23-060_H02FBC343P-191589_level-0,1327528715.539451,973675.0,106.09515240052488,0.07781542,0.0733449353386594
NA23-060_H02FBC343P-191590_level-0,1593396082.864575,1447121.0,127.343083631318,0.11565289,0.0908199218326824
NA23-060_H02FBC343P-191591_level-0,3617176347.626214,14866919.0,289.0821655070802,1.1881536,0.4110089677965646
NA23-060_H02FBC343P-191592_level-0,1895147938.7816005,82911500.0,151.45887771238898,6.626229,4.374935896421659
NA23-060_H02FBC343P-191594_level-0,2376931815.22376,714029300.0,189.9627030510941,57.06472,30.0399600749311
NA23-060_H02FBC343P-191595_level-0,3120775075.2431445,365815650.0,249.4101282631287,29.235727,11.72194870905036
NA23-121_H02N23497P12-201014_level-0,4488319231.539546,2668485.0,358.7032862779862,0.21326344,0.0594539959097656
NA23-121_H02N23497P12-201018_level-0,3262341572.196167,1871594.0,260.72402218740143,0.14957647,0.0573696543191329
NA23-121_H02N23497P12-201021_level-0,2214241533.252903,1676042.0,176.9606112260834,0.13394809,0.0756937302398497
NA23-121_H02N23497P12-201023_level-0,3180578891.6745906,1722682.0,254.1896068116202,0.13767554,0.0541625365356212
NA23-121_H02N23497P12-201025_level-0,1843031219.6841288,751256.0,147.29374652498964,0.060039848,0.0407619804001875
NA23-168_H02IBC433P-191757_level-0,2000529669.0769289,12861068.0,159.8809107765631,1.0278474,0.642883133612361
NA23-168_H02P23TB523P-202444_level-0,2571889344.751982,9453565.0,205.54357039114365,0.75552225,0.3675727971891374
NA23-298_H02N23TB512P-172715_level-0,2425907265.8866143,888307.0,193.87678629549944,0.070992865,0.0366175167356883
NA24-002_H02IBC433P-192149_level-0,2472663668.36061,2821617.0,197.61352478417544,0.22550164,0.114112453526351
NA24-002_H02IBC433P-192150_level-0,3456377401.14295,38001960.0,276.23122787138976,3.0370898,1.0994737445436653
NA24-002_H02IBC433P-192155_level-0,3346755825.10882,114098270.0,267.4703493460611,9.118653,3.409220244306905
NA24-002_H02IBC433P-192156_level-0,2499964331.642496,40273084.0,199.7953744101928,3.2185965,1.610946433538082
NA24-002_H02IBC433P-192158_level-0,2267412360.66658,76827064.0,181.20998600169696,6.1399646,3.3883146928107983
NA24-002_H02IBC433P-192159_level-0,1923623894.3984177,77018056.0,153.73465586735654,6.1552286,4.003800301291798
NA24-188_H02IBC418P-217031_level-0,2696391288.255025,69697710.0,215.4936773195269,5.570192,2.584851643670119
NA24-188_H02IBC418P-217033_level-0,2331532108.1329346,10902498.0,186.33439069418736,0.87131995,0.4676109151836259
NA24-188_H02IBC418P-217040_level-0,2509910709.4863167,71091950.0,200.59028186554272,5.6816187,2.8324496269959667
NA24-188_H02IBC418P-217043_level-0,1869789094.950536,37112824.0,149.43221691818945,2.9660308,1.984867050275496
NA24-188_H02IBC418P-217061_level-0,3585134214.6533747,44833332.0,286.5213809898053,3.5830483,1.2505343689467752
